filename,M,N,Q,area_petal_mm2,perimeter_petal_mm,area_tot_mm2,perimeter_tot_mm,external_boundary
M2_N2_Q_0.05,2,2,0.05,0.078,4.726,0.156,9.452,0.2844
M2_N2_Q_0.10,2,2,0.1,0.147,5.379,0.294,10.758,0.4337
M2_N2_Q_0.15,2,2,0.15,0.212,5.841,0.424,11.682,0.5639
M2_N2_Q_0.20,2,2,0.2,0.284,6.116,0.568,12.232,0.6715
M2_N2_Q_0.25,2,2,0.25,0.371,6.473,0.742,12.946,0.7684
M2_N2_Q_0.30,2,2,0.3,0.445,6.695,0.890,13.390,0.8581
M2_N2_Q_0.35,2,2,0.35,0.509,6.938,1.018,13.876,0.9183
M2_N2_Q_0.40,2,2,0.4,0.573,7.194,1.146,14.388,1.0280
M2_N2_Q_0.45,2,2,0.45,0.645,7.271,1.290,14.542,1.0916
M2_N2_Q_0.50,2,2,0.5,0.714,7.430,1.428,14.860,1.1010
M2_N2_Q_0.55,2,2,0.55,0.790,7.680,1.580,15.360,1.1686
M2_N2_Q_0.60,2,2,0.6,0.830,7.834,1.660,15.668,1.2110
M2_N2_Q_0.65,2,2,0.65,0.925,7.806,1.850,15.612,1.2445
M2_N2_side_Q_0.70,2,2,0.7,0.969,7.786,1.938,15.572,1.2508
M2_N2_side_Q_0.75,2,2,0.75,1.043,7.815,2.086,15.630,1.2953
M2_N2_Q_0.80,2,2,0.8,1.117,7.844,2.234,15.688,1.3014
M2_N2_Q_0.85,2,2,0.85,1.200,7.840,2.400,15.680,1.3477
M2_N2_Q_0.90,2,2,0.9,1.307,7.743,2.614,15.486,1.3760
M2_N2_side_Q_0.95,2,2,0.95,1.458,7.805,2.916,15.610,1.4936
M2_N3_Q_0.05,2,3,0.05,0.077,3.977,0.231,11.931,0.2374
M2_N3_Q_0.10,2,3,0.1,0.124,4.540,0.372,13.620,0.3213
M2_N3_Q_0.15,2,3,0.15,0.185,5.055,0.555,15.165,0.4072
M2_N3_Q_0.20,2,3,0.2,0.235,5.379,0.705,16.137,0.4758
M2_N3_Q_0.25,2,3,0.25,0.235,5.623,0.705,16.869,0.5477
M2_N3_Q_0.30,2,3,0.3,0.277,5.802,0.831,17.406,0.6126
M2_N3_side_Q_0.35,2,3,0.35,0.349,5.919,1.047,17.757,0.6665
M2_N3_Q_0.40,2,3,0.4,0.364,6.080,1.092,18.240,0.6833
M2_N3_side_Q_0.45,2,3,0.45,0.432,6.159,1.296,18.477,0.6799
M2_N3_side_Q_0.50,2,3,0.5,0.479,6.218,1.437,18.654,0.6956
